DATA,SPEI_1,SPEI_2,SPEI_3,SPEI_4,SPEI_5,SPEI_6,SPEI_7,SPEI_8,SPEI_9,SPEI_10,SPEI_11,SPEI_12,SPEI_13,SPEI_14,SPEI_15,SPEI_16,SPEI_17,SPEI_18,SPEI_19,SPEI_20,SPEI_21,SPEI_22,SPEI_23,SPEI_24,SPEI_25,SPEI_26,SPEI_27,SPEI_28,SPEI_29,SPEI_30,SPEI_31,SPEI_32,SPEI_33,SPEI_34,SPEI_35,SPEI_36,SPEI_37,SPEI_38,SPEI_39,SPEI_40,SPEI_41,SPEI_42,SPEI_43,SPEI_44,SPEI_45,SPEI_46,SPEI_47,SPEI_48
Jan1950,-0.90721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb1950,-0.66861,-1.19391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar1950,0.90375,0.29942,-0.27432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr1950,-0.50061,0.31932,-0.07459,-0.52026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May1950,0.77637,0.20863,0.55536,0.28527,-0.06597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun1950,-0.99997,-0.0468,-0.34167,-0.00684,-0.24671,-0.48893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul1950,-0.18182,-0.8805,-0.16667,-0.41043,-0.0882,-0.3034,-0.52146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug1950,0.84617,0.43036,-0.39769,0.05484,-0.17388,0.10003,-0.08481,-0.2732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep1950,-0.71602,-0.01761,-0.09917,-0.69299,-0.20858,-0.41052,-0.10438,-0.26566,-0.44725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct1950,-1.08943,-1.19028,-0.73493,-0.75213,-1.10393,-0.67165,-0.82153,-0.53217,-0.6596,-0.81057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov1950,-1.31676,-1.54001,-1.64632,-1.17635,-1.19907,-1.44509,-0.99542,-1.12856,-0.84737,-0.95521,-1.08229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec1950,1.34295,0.27531,-0.8023,-1.04194,-0.63218,-0.65219,-1.01342,-0.61468,-0.77624,-0.50043,-0.6261,-0.76343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan1951,1.62438,1.63336,1.13638,0.30512,-0.143,0.11063,0.08829,-0.40991,-0.11674,-0.27219,-0.02684,-0.15444,-0.3079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
