,Year,All species All,Farmland birds All,Farmland birds Generalist,Farmland birds Specialist,Woodland birds All,Woodland birds Generalist,Woodland birds Specialist,Water and Wetland birds All,Water and Wetland birds Reed bed,Water and Wetland birds Wet meadow,Water and Wetland birds Fast flow,Water and Wetland birds Slow stand,Seabirds All,Seabirds Surface feeders,Seabirds Subsurface feeders,Wintering Water birds All,Wildfowl,Wader
0,1970,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,
1,1971,102.7,103.4,100.0,105.1,105.8,109.3,103.7,,,,,,,,,,,
2,1972,107.9,103.5,104.5,103.0,111.3,119.2,106.7,,,,,,,,,,,
3,1973,107.4,100.3,105.2,97.9,109.0,117.8,102.4,,,,,,,,,,,
4,1974,109.2,101.4,101.7,101.2,109.0,120.8,100.2,,,,,,,,,,,
5,1975,112.0,106.5,114.2,102.9,109.7,122.8,100.0,100.0,100.0,100.0,100.0,100.0,,,,100.0,100.0,100.0
6,1976,111.2,108.9,112.9,107.3,102.4,112.1,93.7,102.4,90.8,100.6,91.5,114.6,,,,96.3,97.8,93.8
7,1977,113.6,111.6,115.0,110.3,107.3,110.6,101.8,107.7,109.7,105.1,85.7,126.5,,,,97.3,101.3,91.2
8,1978,106.2,103.8,111.7,100.1,99.0,103.2,92.7,94.9,83.6,93.7,85.7,110.3,,,,105.0,116.0,89.2
9,1979,101.5,97.8,107.6,93.0,91.9,92.2,87.7,93.6,79.6,101.9,74.0,120.9,,,,103.5,111.2,92.2
10,1980,107.7,97.1,104.2,93.7,101.7,103.6,96.8,99.4,77.5,108.7,76.2,126.1,,,,112.4,125.5,93.7
11,1981,108.0,93.2,108.0,86.0,103.1,108.9,96.3,97.8,63.0,104.5,82.0,117.6,,,,114.8,132.7,90.4
12,1982,99.0,82.1,105.8,71.2,92.9,89.0,91.9,89.5,64.8,110.9,64.9,105.5,,,,124.2,139.9,102.1
13,1983,102.1,81.3,105.9,70.1,99.3,101.1,95.0,97.0,61.2,106.7,81.4,118.6,,,,128.3,143.1,107.1
14,1984,102.7,80.5,105.4,69.3,98.2,103.2,91.3,96.9,53.7,113.9,92.2,119.8,,,,141.3,159.9,115.1
15,1985,98.9,74.2,103.2,61.6,97.1,100.9,90.8,94.8,54.5,108.7,95.2,123.2,,,,147.4,166.5,120.6
16,1986,93.2,68.6,103.0,54.4,87.3,89.9,82.2,89.1,56.2,94.5,92.5,108.7,100.0,100.0,100.0,153.4,180.7,116.3
17,1987,93.6,65.1,99.2,51.3,88.6,91.0,84.1,93.9,58.9,97.8,89.5,114.1,105.2,105.1,106.3,164.3,185.3,135.7
18,1988,99.8,65.4,104.3,50.2,93.9,100.3,86.7,99.9,62.3,99.9,91.3,124.5,105.7,115.2,108.7,178.5,201.5,146.8
19,1989,102.2,67.7,107.5,52.0,96.9,103.7,89.6,102.7,62.2,91.2,92.7,131.9,102.3,105.6,109.8,176.3,191.1,153.4
20,1990,98.9,69.0,110.9,52.6,90.9,102.0,81.5,104.4,58.3,94.4,97.0,139.8,95.1,100.1,100.3,191.0,216.9,155.7
21,1991,90.9,65.0,115.0,46.9,83.2,88.9,76.4,90.0,51.0,77.7,86.6,139.6,97.9,95.0,109.1,188.8,212.9,157.2
22,1992,93.2,61.5,104.5,45.4,79.9,93.6,69.0,92.3,55.8,75.3,83.9,138.5,102.1,104.2,107.6,186.5,198.4,169.0
23,1993,90.0,57.6,96.2,42.9,81.4,97.6,69.3,89.8,53.7,71.0,88.7,129.2,97.5,94.5,98.9,193.2,216.5,158.6
24,1994,91.9,58.8,102.9,42.7,81.9,100.9,68.6,89.7,60.9,64.4,95.4,124.6,97.7,89.3,96.4,205.0,212.6,191.0
25,1995,94.7,60.9,103.5,45.0,76.4,100.0,61.8,105.4,75.4,70.9,95.3,161.8,101.8,91.9,103.1,212.8,238.5,169.7
26,1996,92.6,59.8,103.8,43.7,81.9,101.0,68.1,97.8,68.0,70.8,91.6,135.5,99.3,90.7,98.6,215.2,245.6,170.4
27,1997,94.4,58.5,104.4,42.0,84.1,94.2,73.4,91.9,66.2,61.9,89.4,131.7,101.6,94.9,102.4,215.3,234.4,185.0
28,1998,93.6,55.0,102.7,38.5,80.6,96.5,67.8,92.8,66.2,60.6,90.8,144.7,94.2,81.8,102.0,203.4,219.4,173.6
29,1999,93.4,54.9,101.6,38.5,79.8,104.2,64.1,93.1,77.5,55.5,91.8,151.3,99.3,90.8,95.6,210.9,226.1,177.9
30,2000,96.3,57.2,104.6,40.5,80.8,109.5,63.4,99.9,88.8,60.6,87.7,156.5,95.7,87.0,103.4,206.0,222.7,172.5
31,2001,94.5,56.9,103.4,40.4,78.9,106.6,61.8,100.0,90.3,59.9,89.8,157.5,99.0,86.8,111.2,216.0,233.8,180.9
32,2002,94.1,56.5,102.3,40.2,76.6,103.3,59.8,100.0,94.0,58.9,91.7,157.6,94.1,86.2,105.7,207.3,225.4,171.9
33,2003,94.8,56.9,112.2,38.5,78.7,106.7,61.2,99.7,91.6,62.6,94.4,149.2,96.6,84.7,117.7,204.0,221.4,166.8
34,2004,94.6,56.5,105.0,39.6,76.5,105.6,58.7,97.3,97.7,56.0,87.8,156.0,85.9,77.9,110.2,203.0,214.6,175.1
35,2005,96.5,55.8,108.9,38.0,80.7,112.5,61.5,93.9,92.6,51.1,87.0,159.0,87.3,84.1,99.2,211.1,235.8,166.2
36,2006,96.2,55.1,107.7,37.5,76.5,106.8,58.1,98.3,97.7,52.1,84.4,183.7,90.2,85.1,102.4,200.1,212.6,171.8
37,2007,95.3,51.8,102.4,35.0,80.1,116.0,59.6,94.4,101.0,48.6,88.7,157.1,84.8,86.6,91.8,202.9,220.1,167.3
38,2008,96.8,52.9,104.7,35.7,82.1,115.4,62.0,99.6,104.5,56.4,88.9,165.7,79.9,77.1,94.6,205.3,226.1,165.3
39,2009,92.3,51.3,97.3,35.5,71.8,107.5,52.3,90.3,96.1,45.3,85.8,155.7,85.1,88.0,96.6,201.6,228.2,153.9
40,2010,93.6,49.7,95.0,34.2,80.5,111.4,61.1,95.3,105.9,55.3,74.9,156.7,82.4,81.2,94.1,204.7,237.2,153.6
41,2011,92.0,49.5,94.7,34.1,82.8,108.2,64.8,84.5,99.8,42.3,71.7,139.3,76.5,76.4,90.5,194.9,221.7,149.5
42,2012,93.0,50.0,101.4,33.3,83.8,112.4,64.9,83.8,94.0,44.3,70.4,147.0,73.6,76.0,91.7,187.8,205.0,158.2
43,2013,86.0,44.9,89.6,30.2,72.1,98.7,54.9,82.6,82.2,46.7,70.8,142.2,72.5,71.9,84.0,184.8,201.4,152.6
44,2014,90.7,45.7,91.1,30.7,79.9,113.9,59.9,85.0,94.6,44.8,78.9,129.7,79.4,80.4,90.0,,,
